PRACTICE_ID,ORG_NPI,TOT_3PRD_PHYS,COMMON_SPEC_OVERALL1,SING_SPEC_FLAG,SING_SPEC_TYPE,PCP_SPEC_FOCUS_FLAG,COMMON_SPEC_PCP1,COMMON_SPEC_PCP2,COMMON_SPEC_PCP3,COMMON_SPEC_PCP4,COMMON_SPEC_PCP5,MED_SPEC_FLAG,COMMON_SPEC_MED1,COMMON_SPEC_MED2,COMMON_SPEC_MED3,COMMON_SPEC_MED4,COMMON_SPEC_MED5,SURG_SPEC_FLAG,COMMON_SPEC_SURG1,COMMON_SPEC_SURG2,COMMON_SPEC_SURG3,COMMON_SPEC_SURG4,COMMON_SPEC_SURG5,OBGYN_SPEC_FLAG,PSYCH_SPEC_FLAG,OTHR_SPEC_FLAG,STATE,ZIP_CD
21428,1447447248,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,94801
4951,1013247485,1,General surgery,1,General surgery,0,,,,,,0,,,,,,1,General surgery,,,,,0,0,0,CA,92395
13492,1154401941,5,Allergy/immunology,0,,0,,,,,,1,Allergy/immunology,,,,,0,,,,,,0,0,0,CA,94111
18999,1881177293,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,92260
12876,1912093865,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90045
16639,1598775223,1,Gastroenterology,1,Gastroenterology,0,,,,,,1,Gastroenterology,,,,,0,,,,,,0,0,0,CA,94304
17706,1417303264,2,Interventional Pain Management (IPM),0,,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,91436
5087,1386976769,1,Anesthesiology,1,Anesthesiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,91767
15892,1083625701,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,96001
12275,1851805717,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90035
26021,1033299250,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90067
